name	reasons
东方景宴	evidence_summary 不足200字（当前 0） | 真实食客UGC堂食原话少于2条（当前1；媒体/官方/榜单/品牌稿不计入食客数） | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测）
Narisawa Shanghai	evidence_summary 不足200字（当前 0） | 真实食客UGC堂食原话少于2条（当前1；媒体/官方/榜单/品牌稿不计入食客数） | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测）
1515牛排馆·酒吧	evidence_summary 不足200字（当前 0） | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测）
夏宫	evidence_summary 不足200字（当前 0） | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测）
Nuits	关店缺 closed_date | 关店缺 closed_source（关店信息 URL） | sources 少于 2 个独立来源
Stone Sal 言盐西餐厅(东湖路店)	evidence_summary 不足200字（当前 0）
迷上 Mi Shang	evidence_summary 不足200字（当前 0） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测）
永兴餐厅	evidence_summary 不足200字（当前 0） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测）
春餐厅	evidence_summary 不足200字（当前 0） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测）
坛·四川料理	evidence_summary 不足200字（当前 0） | 真实食客UGC堂食原话少于2条（当前1；媒体/官方/榜单/品牌稿不计入食客数） | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
云 LES NUAGES	evidence_summary 不足200字（当前 0） | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
The MEAT·扒	evidence_summary 不足200字（当前 0） | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测）
屋有鲜	evidence_summary 不足200字（当前 0） | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
晟永兴(外滩店)	evidence_summary 不足200字（当前 0） | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测）
老乾杯(外滩店)	evidence_summary 不足200字（当前 0） | 真实食客UGC堂食原话少于2条（当前1；媒体/官方/榜单/品牌稿不计入食客数） | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测）
Mr & Mrs Bund	evidence_summary 不足200字（当前 0）
翡翠36	evidence_summary 不足200字（当前 0） | 堂食食客证据少于 2 条（当前 1） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测）
艾利爵士餐厅	evidence_summary 不足200字（当前 0） | 真实食客UGC堂食原话少于2条（当前1；媒体/官方/榜单/品牌稿不计入食客数） | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测）
夜上海	evidence_summary 不足200字（当前 0） | 堂食食客证据少于 2 条（当前 1） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
随堂里	evidence_summary 不足200字（当前 0）
临江宴	evidence_summary 不足200字（当前 0） | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
上海餐厅	evidence_summary 不足200字（当前 0） | 堂食食客证据少于 2 条（当前 1） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
功德林(南京西路店)	evidence_summary 不足200字（当前 0） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测）
粤海棠·wineapp	evidence_summary 不足200字（当前 0） | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
利苑(徐汇)	evidence_summary 不足200字（当前 0） | 堂食食客证据少于 2 条（当前 1） | 存在无 URL 的食客证据（一手信源强制） | 没有任何一条含具体菜品/体验的堂食证据（反软广不通过） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
鹿园MOOSE(浦东店)	evidence_summary 不足200字（当前 0） | 堂食食客证据少于 2 条（当前 1） | 真实食客UGC堂食原话少于2条（当前1；媒体/官方/榜单/品牌稿不计入食客数） | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
云和面馆(黄浦)	evidence_summary 不足200字（当前 0） | 堂食食客证据少于 2 条（当前 1） | 存在无 URL 的食客证据（一手信源强制） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
老兴鲜(黄浦)	signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
台城镂月	address 过短或为空（渠道链补齐，不留空） | signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | 没有任何一条含具体菜品/体验的堂食证据（反软广不通过） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
食光	address 过短或为空（渠道链补齐，不留空） | signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | 没有任何一条含具体菜品/体验的堂食证据（反软广不通过） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
The Pine 松涧	evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测）
