id	name	name_en	district	address	status	price_avg
1	晴川sushi（午市）		静安区	静安区江宁路445号103室沿街	active	680
2	鮨水月（午市）		浦东新区	浦东东方路1531号103B室	active	680
3	岩田割烹鮨		闵行区	闵行虹梅路3213号红春大厦一楼	active	980
4	御千代（王雷师傅）		长宁区	长宁凯旋路1398号T8栋2楼	active	880
5	Sushi Oyama 鮨大山		黄浦区	黄浦吉安路29号E栋3F	active	900
6	吉兆 KITCHO		静安区	静安南京西路1333号展览中心9号门	active	2460
7	披头士烧鸟居酒屋		多区连锁	金桥国际/八万人体育馆等	active	94
8	酉町·烧鸟专门店		长宁区	长宁番禺路390号一楼沿街	active	200
9	宫鸠（华山路）		长宁区	长宁华山路1358号华山名邸	active	1100
10	小景门（仇师傅）		静安区	静安成都北路333号招商局东广场1楼	active	700
11	海宫		静安区	静安南阳路123号	active	130
12	炉端一番		静安区	静安北京西路1209弄64号	active	400
13	龍響炉端烧(嘉善老市店)	Robata Ryukyo	徐汇区	徐汇区嘉善路259弄嘉善老市37号C栋一楼	active	700
14	金宗咖喱		嘉定区	江桥万达3楼	active	20
15	伽喱博士 Dr.CURRY		徐汇区	徐汇淮海中路1797号	active	48
16	晚餐馆咖喱饭		长宁区	长宁区古北地区	active	50
18	环七·土佐子		静安区	静安区静安寺附近	active	55
19	一风堂		浦东新区	浦东新区陆家嘴国金中心LG1	active	77
20	Ramen满吉(广元西路店)	Ramen Mitsuyoshi	徐汇区	徐汇区广元西路189-193号	active	75
23	鳗重		静安区	静安愚园路580号	active	125
24	哲平鳗满		浦东新区	浦东正大广场	active	200
25	竿屋		长宁区	长宁区古北地区	active	88
26	咕咕		闵行区	闵行区老外街	active	120
28	牛New寿喜烧（自助）		多区连锁	多区连锁（上海多家分店）	active	116
29	日和寿喜烧		长宁区	长宁茅台路179号金虹桥F1	active	300
30	大牛寿喜烧（自助顶配）		多区连锁	多区连锁（上海多家分店）	active	219
31	炎珀EMBER		静安区	静安区南京西路1515号静安嘉里中心	active	500
32	motoya寿喜烧		闵行区	闵行虹梅路3337号汇映中心111号	active	300
33	有喜屋居酒屋(延安西路店)	Arikiya Izakaya	长宁区	长宁区延安西路2073号M101室	active	119
34	黑门乐酒天		黄浦区	黄浦区打浦桥/嘉善路	active	150
35	平成屋(四川北路店)	Heiseiya Izakaya	虹口区	虹口区四川北路1885号1楼(近多伦路)	active	95
36	天天天妇罗		杨浦区	杨浦区五角场合生汇	active	98
37	天嘉(天妇罗专门店)	Tenka Tempura	闵行区	闵行区虹梅路3194-3号一楼	active	600
38	天吉·天遊峰	Tenchi Tenyuho Tempura	长宁区	长宁区武夷路320弄4号B201	active	2180
39	尚膳天焱		长宁区	长宁区中山公园龙之梦	active	55
40	桃山日本料理铁板烧		浦东新区	浦东新区良友大厦	active	207
41	山茶花铁板烧		黄浦区	花园饭店33楼	active	826
42	丸龟制面		浦东新区	浦东新区长泰广场	active	40
43	荞麦道		长宁区	长宁区仙霞路	active	60
44	纹兵卫（午市套餐）		长宁区	长宁区金虹桥B1	active	100
45	とんかつ一滨·炸猪排(世博天地首店)	Tonkatsu Ichihama	浦东新区	浦东新区世博大道1467号世博天地2楼L222	active	81
46	静冈胜政		长宁区	长宁区金虹桥国际中心	active	104
48	大志/king大志		长宁区	仙霞路021-62261090	active	185
49	虎丸烧肉		长宁区	金虹桥LG1-005 021-50931680	active	192
50	三川烧肉Mikawa		黄浦区	南昌路509号4楼 021-62777760	active	632
51	AJIYA味屋		徐汇区	淮海中路1333号4楼 021-54251723	active	300
52	铁屋（古北）		闵行区	虹梅路3081号 021-62090253	active	500
53	烧肉·至心		徐汇区	淮海中路1028号嘉华坊4F 177-1749-1778	active	500
453	鲁丰居(灵石路店)		静安区	静安区灵石路881号	active	70
454	融智坊鲁菜(北蔡休闲广场店)		浦东新区	浦东新区北中路195号北蔡休闲广场二楼206室	active	90
455	新嘉中心胶东烟火小馆		嘉定区	嘉定区新嘉中心商场	active	110
456	鲁菜根(上海嘉定店)		嘉定区	嘉定区汇源路258弄6号B1层	active	73
457	鲁菜馆(融信绿地店)		闵行区	闵行区盘阳路66弄5幢8-12室101室(融信绿地国际2期)	active	80
458	东莱海上(长宁来福士店)		长宁区	长宁区长宁路1123号长宁来福士广场东区6楼35号	active	180
459	老山东·鲁菜馆(陆家嘴店)	Lao Shandong Fengwei Caiguan	浦东新区	上海市浦东新区浦东南路379号金穗大厦6楼(近浦东大道)	active	198
460	老山东·御膳坊(徐汇绿地缤纷城店)		徐汇区	徐汇区东安路562号绿地缤纷城	active	160
461	传熹·胶东菜(CP静安店)	Chuanxi Jiaodong Cuisine	静安区	上海市静安区愚园路68号CP静安商场6楼L612	active	150
462	鲁东胶州菜(世纪汇店)		浦东新区	浦东新区世纪大道世纪汇广场内	active	150
463	鲁采LU STYLE(环宇荟店)	Lu Cai LU STYLE	黄浦区	上海市黄浦区黄陂南路838弄中海环宇荟2层207室	active	528
464	鲁采·兴(苏河湾店)		静安区	静安区浙江北路慎余里1幢	active	623
