name	reasons
苹果花园(南泉路店)	来源类型少于2类（当前 ['ugc']；须 UGC + 官方指南/媒体/地图 至少两类）
法田鹿蛋糕	district 非标准行政区: '上海市(具体区待核实)'
聚福shanghailander(乌鲁木齐南路店)	来源类型少于2类（当前 ['ugc']；须 UGC + 官方指南/媒体/地图 至少两类）
汕鹤潮式甜汤(人广来福士店)	来源类型少于2类（当前 ['ugc']；须 UGC + 官方指南/媒体/地图 至少两类）
贵州冰浆(陕西北路店)	真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数）
FINE pancake&canteen(陕西南路店)	来源类型少于2类（当前 ['ugc']；须 UGC + 官方指南/媒体/地图 至少两类）
Kaki Mania日式刨冰(长乐路店)	坐标不在上海范围: lng=31.220695 lat=121.45796
HUFFY coffee&gelato(威海路店)	坐标不在上海范围: lng=31.225183 lat=121.456086
Le Pain Sens(新天地店)	来源类型少于2类（当前 ['ugc']；须 UGC + 官方指南/媒体/地图 至少两类）
国际饭店帆声饼屋(黄河路店)	真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数）
drunk baker醉师傅(陕康里店)	来源类型少于2类（当前 ['ugc']；须 UGC + 官方指南/媒体/地图 至少两类）
泽田本家铜锣烧(上海店)	缺 platform_scores | 来源类型少于2类（当前 ['ugc']；须 UGC + 官方指南/媒体/地图 至少两类）
纽约贝果博物馆(新天地店)	来源类型少于2类（当前 ['ugc']；须 UGC + 官方指南/媒体/地图 至少两类）
野人先生Gelato(徐汇旗舰店)	真实食客UGC堂食原话少于2条（当前1；媒体/官方/榜单/品牌稿不计入食客数） | 缺 platform_scores
FASCINO BAKERY(丰盛里店)	evidence_summary 不足200字（当前 181） | 堂食食客证据少于 2 条（当前 1） | 真实食客UGC堂食原话少于2条（当前1；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | 来源类型少于2类（当前 ['ugc']；须 UGC + 官方指南/媒体/地图 至少两类）
EVERNAKED裸蛋糕(巨鹿路店)	evidence_summary 不足200字（当前 189） | 堂食食客证据少于 2 条（当前 1） | 真实食客UGC堂食原话少于2条（当前1；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | 来源类型少于2类（当前 ['ugc']；须 UGC + 官方指南/媒体/地图 至少两类）
yeetlemon柠檬蛋糕(同乐坊店)	sources 少于 2 个独立来源 | 来源类型少于2类（当前 ['ugc']；须 UGC + 官方指南/媒体/地图 至少两类）
Bake No Title(番禺路店)	缺 platform_scores
堂屋糖水铺(愚园路店)	evidence_summary 不足200字（当前 161） | 真实食客UGC堂食原话少于2条（当前1；媒体/官方/榜单/品牌稿不计入食客数） | 缺 platform_scores
