name	reasons
东北人家(弘基广场店)	存在无 URL 的食客证据（一手信源强制）
全聚德(淮海中路店)	address 过短或为空（渠道链补齐，不留空）
京云华(张江汇智店)	堂食食客证据少于 2 条（当前 1） | sources 少于 2 个独立来源
老门框爆肚涮肉(杨浦中原店)	address 过短或为空（渠道链补齐，不留空） | 堂食食客证据少于 2 条（当前 1） | sources 少于 2 个独立来源
京城南门涮肉(杨浦大连路店)	address 过短或为空（渠道链补齐，不留空） | 堂食食客证据少于 2 条（当前 1） | sources 少于 2 个独立来源
京悦南门涮肉(仙霞路店)	堂食食客证据少于 2 条（当前 1） | sources 少于 2 个独立来源
南门天下·蒙羊世家烀羊专家(公兴路店)	address 过短或为空（渠道链补齐，不留空） | 堂食食客证据少于 2 条（当前 1） | sources 少于 2 个独立来源
多来转爆肚店(七宝老街店)	堂食食客证据少于 2 条（当前 1） | sources 少于 2 个独立来源
丰碗居(长宁来福士店)	address 过短或为空（渠道链补齐，不留空）
老北京炸酱面(包头南路店)	堂食食客证据少于 2 条（当前 1） | sources 少于 2 个独立来源
老北京炸酱面(中大东街店)	堂食食客证据少于 2 条（当前 1） | sources 少于 2 个独立来源
老北京炸酱面(牡丹江路店)	堂食食客证据少于 2 条（当前 1） | sources 少于 2 个独立来源
宫宴Gongyan(北京西路店)	堂食食客证据少于 2 条（当前 1） | sources 少于 2 个独立来源
礼部·新京菜(CP静安店)	address 过短或为空（渠道链补齐，不留空）
和季新京菜(数通链谷店)	address 过短或为空（渠道链补齐，不留空） | 堂食食客证据少于 2 条（当前 1） | sources 少于 2 个独立来源
东来顺(虹桥天地店)	堂食食客证据少于 2 条（当前 1） | sources 少于 2 个独立来源
京悦南门涮肉(虹桥丽宝广场店)	堂食食客证据少于 2 条（当前 1） | sources 少于 2 个独立来源
京城老南门涮羊肉(七宝店)	address 过短或为空（渠道链补齐，不留空） | 堂食食客证据少于 2 条（当前 1） | sources 少于 2 个独立来源
局气(上海静安店)	address 过短或为空（渠道链补齐，不留空）
羊伙计烤全羊(宝山店)	address 过短或为空（渠道链补齐，不留空）
家在塔啦·烤全羊·蒙古包餐厅(天钥桥路店)	堂食食客证据少于 2 条（当前 1） | 没有任何一条含具体菜品/体验的堂食证据（反软广不通过）
爱上草原内蒙餐厅(老沪闵路店)	堂食食客证据少于 2 条（当前 1）
小小羔·内蒙涮肉&烧烤(徐家汇店)	堂食食客证据少于 2 条（当前 1） | sources 少于 2 个独立来源
牧人谣草原厨房(浦东曹路宝龙广场店)	堂食食客证据少于 2 条（当前 1） | sources 少于 2 个独立来源
捡角台湾食堂(古北店)	存在无 URL 的食客证据（一手信源强制）
张黄锦记螺蛳粉桂林米粉(阳光天地店)	sources 少于 2 个独立来源
耶里夏丽·新疆菜(南京东路世茂店)	电话疑似编造/非法（phone_unparseable）；查不到请留空，不要造假
那时新疆·乌孙(虹桥南丰城店)	sources 少于 2 个独立来源
卡德尔大叔新疆主题餐厅(东方路店)	sources 少于 2 个独立来源
怡妮新疆风味餐厅(东江湾路店)	sources 少于 2 个独立来源
方中山胡辣汤(静安康定路店)	存在无 URL 的 source
五星海南鸡饭(新乐路店)	signature_dishes 少于 2 道
秦韵味道(国权北路店)	price_avg 与 price_range 均缺失
麦之初·陕小馆(长宁Art Park大融城店)	price_avg 与 price_range 均缺失
云庄里云南铜锅米线(浦江镇欢乐颂店)	sources 少于 2 个独立来源
胡麻过桥米线	signature_dishes 少于 2 道 | sources 少于 2 个独立来源
滇味园云南过桥米线(南京东路店)	signature_dishes 少于 2 道
黔山婆·地道贵州菜(合生汇店)	sources 少于 2 个独立来源
上黔庄·一品贵州菜(吴中路店)	address 过短或为空（渠道链补齐，不留空） | sources 少于 2 个独立来源
潘小烧·云南烧烤(外滩总店)	address 过短或为空（渠道链补齐，不留空）
滇九味云南烧烤	sources 少于 2 个独立来源
